,Title,Date,Link,Init Crime,lat,long,LDA Topics
14,vacb chief govt stance sought,1/8/2018 17:49,http://www.thehindu.com/news/national/kerala/vacb-chief-govt-stance-sought/article22399323.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"court, director, government, vigilance, state, "
15,police oppose restoration of bus service through banerji road,11/28/2017 19:41,http://www.thehindu.com/news/cities/Kochi/police-oppose-restoration-of-bus-service-through-banerji-road/article21041567.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"bus, road, traffic, junction, report, "
16,cusat to roll out two major digital projects next year,12/26/2017 19:04,http://www.thehindu.com/news/cities/Kochi/cusat-to-roll-out-two-major-digital-projects-next-year/article22282671.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"digital, payment, nad, online, student, "
17,steps to clear power bills of companies,12/14/2017 2:57,http://www.thehindu.com/news/cities/Kochi/steps-to-clear-power-bills-of-companies/article21618619.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"engineering, electrical, kerala, minister, say, "
18,junior doctors students join statewide strike,12/20/2017 3:46,http://www.thehindu.com/news/cities/Kochi/junior-doctors-students-join-statewide-strike/article21997114.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"doctor, junior, student, college, medical, "
19,portraying sorry state of free expression in times we live in,11/16/2017 3:27,http://www.thehindu.com/news/cities/Kochi/portraying-sorry-state-of-free-expression-in-times-we-live-in/article20462257.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"cartoon, cartoonist, exhibition, bala, expression, "
20,govt schools to get free copies of the hindu in school,10/13/2017 2:16,http://www.thehindu.com/news/cities/Kochi/30-govt-schools-to-get-free-copies-of-the-hindu-in-school/article19851011.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"school, cdb, coconut, mini, principal, "
21,coast guard rescuesmore fishermen near lakshadweep,12/5/2017 12:55,http://www.thehindu.com/news/national/kerala/coast-guard-rescues-46-fishermen-near-lakshadweep/article21265575.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"fisherman, rescue, vessel, guard, coast, "
22,rail action panel to take on state govt,12/21/2017 2:31,http://www.thehindu.com/news/national/kerala/nilgiris-wayanad-railway-action-panel-to-take-on-state-govt/article22064754.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"government, project, karnataka, dpr, say, "
23,devaswoms to takemore dalit priests,10/26/2017 15:30,http://www.thehindu.com/news/national/kerala/devaswoms-to-takemore-dalit-priests/article19926688.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"would, appointment, tdb, community, say, "
24,kochi to host tiecon kerala,10/30/2017 19:08,http://www.thehindu.com/news/cities/kozhikode/kochi-to-host-tiecon-kerala-2017/article19952103.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"entrepreneur, kerala, feature, state, failure, "
25,panel rejects application for reclamation of land for wastetoenergy plant,12/20/2017 16:59,http://www.thehindu.com/news/cities/Kochi/panel-rejects-application-for-reclamation-of-land-for-waste-to-energy-plant/article22082858.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"paddy, plant, field, puthenkurishu, corporation, "
26,the hindu edge career guidance event on friday,11/14/2017 3:28,http://www.thehindu.com/news/cities/Kochi/the-hindu-edge-career-guidance-event-on-friday/article20404122.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"career, partner, programme, session, event, "
27,pwd likely to miss road repair deadline yet again,10/31/2017 2:15,http://www.thehindu.com/news/cities/Kochi/pwd-likely-to-miss-road-repair-deadline-yet-again/article19951711.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"work, road, pwd, complete, delay, "
28,hc dismisses thomas chandyâ€™s plea,11/14/2017 19:22,http://www.thehindu.com/news/national/kerala/hc-dismisses-thomas-chandys-plea/article20445446.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"minister, cabinet, court, bench, responsibility, "
29,old synagogue comes alive in jew town,12/26/2017 16:41,http://www.thehindu.com/news/national/old-synagogue-comes-alive-in-jew-town/article22282333.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"jew, yaakov, kochi, town, becky, "
30,navy to convert operational vessel for cadet training,11/28/2017 11:16,http://www.thehindu.com/news/national/kerala/navy-to-convert-operational-vessel-for-cadet-training/article21039329.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"ship, training, vessel, build, cadet, "
31,new domestic terminal to be opened in march,11/2/2017 18:02,http://www.thehindu.com/news/cities/Kochi/new-domestic-terminal-to-be-opened-in-march/article19970176.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"terminal, domestic, facility, level, passenger, "
32,cyclone relief measures intensified in ernakulam,12/5/2017 2:22,http://www.thehindu.com/news/cities/Kochi/cyclone-relief-measures-intensified-in-ernakulam/article21262400.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"continue, people, camp, relief, district, "
33,kochi police accused of moral policing,12/2/2017 18:02,http://www.thehindu.com/news/national/kerala/kochi-police-accused-of-moral-policing/article21251409.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"Assault, woman, officer, say, night, "
34,accomplished dancers take the stage at national dance festival in kochi,12/21/2017 5:32,http://www.thehindu.com/entertainment/dance/national-dance-festival-at-edappally/article22121667.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,fraud,10.02,76.22,"krishna, lord, recital, janaki, day, "
35,custodial quizzing of teachers must hc told,11/6/2017 17:38,http://www.thehindu.com/news/national/kerala/custodial-quizzing-of-teachers-must-hc-told/article19993913.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"teacher, girl, petitioner, student, petition, "
36,gail pipeline has deviated from original alignment report,11/6/2017 13:45,http://www.thehindu.com/news/national/kerala/gail-pipeline-has-deviated-from-original-alignment-report/article19993023.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"commissioner, safety, area, lay, pipeline, "
37,migrants toil to keep plywood industry in perumbavoor going,10/26/2017 2:12,http://www.thehindu.com/news/cities/Kochi/migrants-toil-to-keep-plywood-industry-in-perumbavoor-going/article19920651.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"worker, migrant, industry, study, also, "
38,display boards on metro pillars found removed power lines tampered with,10/26/2017 19:55,http://www.thehindu.com/news/cities/Kochi/display-boards-on-metro-pillars-found-removed-power-lines-tampered-with/article19928066.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,vandalism,10.02,76.22,"metro, pillar, board, kochi, power, "
39,bitten by the theatre bug,12/18/2017 19:22,http://www.thehindu.com/news/cities/Kochi/bitten-by-the-theatre-bug/article21884624.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"theatre, play, people, collective, place, "
40,disinfection activities continue,12/6/2017 19:00,http://www.thehindu.com/news/cities/Kochi/disinfection-activities-continue/article21285317.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"house, health, clean, ward, water, "
41,a temple festival in memory of a catastrophe,10/25/2017 20:04,http://www.thehindu.com/news/cities/Kochi/a-temple-festival-in-memory-of-a-catastrophe/article19921061.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"temple, fire, festival, take, idol, "
42,washington postâ€™s take on communism in kerala,10/30/2017 16:09,http://www.thehindu.com/news/national/kerala/washington-posts-take-on-communism-in-kerala/article19950975.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"communist, dream, kerala, manifesto, social, "
43,it cadre to boost egovernance,11/7/2017 19:39,http://www.thehindu.com/news/cities/Kochi/it-cadre-to-boost-e-governance/article20000463.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"training, batch, project, hold, second, "
44,mayor presented with mosquito net,12/6/2017 19:02,http://www.thehindu.com/news/cities/Kochi/mayor-presented-with-mosquito-net/article21285333.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"mosquito, councillor, net, ldf, mayor, "
45,an evening of melodies and memories,10/31/2017 19:28,http://www.thehindu.com/news/cities/Kochi/an-evening-of-melodies-and-memories/article19958107.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"master, music, thampi, film, arjunan, "
46,when puppets and birds represent reality,8/29/2017 19:33,http://www.thehindu.com/news/cities/Kochi/when-puppets-and-birds-represent-reality/article19583760.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"would, artist, satyapal, life, live, "
47,cm cautions against judicial overreach,10/28/2017 17:54,http://www.thehindu.com/news/national/kerala/cm-cautions-against-judicial-overreach/article19941462.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"say, must, judiciary, justice, court, "
48,an act to make science fun exciting,10/25/2017 19:41,http://www.thehindu.com/news/cities/Kochi/an-act-to-make-science-fun-exciting/article19920715.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"good, drama, play, student, school, "
49,questions loom over safety of fishing boats,12/1/2017 19:41,http://www.thehindu.com/news/cities/Kochi/questions-loom-over-safety-of-fishing-boats/article21245088.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"boat, say, fishing, harbour, district, "
50,navy chief reviews work on aircraft carrier,10/12/2017 17:46,http://www.thehindu.com/news/cities/Kochi/navy-chief-reviews-work-on-aircraft-carrier/article19847596.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"admiral, naval, cns, shipyard, karve, "
51,metroman inspects work on thripunithura extension,11/27/2017 18:47,http://www.thehindu.com/news/cities/Kochi/metroman-inspects-work-on-thripunithura-extension/article21011837.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"metro, work, land, corridor, rail, "
52,minister conducts meet of stakeholders,12/10/2017 2:50,http://www.thehindu.com/news/cities/Kochi/minister-conducts-meet-of-stakeholders/article21383548.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"people, demand, cyclone, saturday, relay, "
53,church renovation triggers a row,11/14/2017 18:42,http://www.thehindu.com/news/cities/Kochi/church-renovation-triggers-a-row/article20446257.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"church, say, authority, parish, department, "
54,tiecon explores ways to make kerala digital hub,11/12/2017 2:55,http://www.thehindu.com/news/cities/Kochi/tiecon-explores-ways-to-make-kerala-digital-hub/article20242536.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"technology, digital, kerala, say, good, "
55,rights panel frowns on delay in rail overbridge work,11/5/2017 2:56,http://www.thehindu.com/news/cities/Kochi/rights-panel-frowns-on-delay-in-rail-overbridge-work/article19984676.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"project, construction, kshrc, allocate, regard, "
56,kmrl to take up missing boards issue with cs,10/27/2017 19:55,http://www.thehindu.com/news/cities/Kochi/kmrl-to-take-up-missing-boards-issue-with-cs/article19935254.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"metro, board, kochi, pillar, say, "
57,kodiyeri skips travel row,10/27/2017 2:26,http://www.thehindu.com/news/cities/Kochi/kodiyeri-skips-travel-row/article19930462.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"yatra, state, bjp, balakrishnan, shah, "
58,tracing a musical journey,10/28/2017 2:08,http://www.thehindu.com/news/cities/Kochi/tracing-a-musical-journey/article19935442.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"tradition, filmmaker, park, poetic, wave, "
59,nitta gelatin complains of vandalism locals refute charge,11/11/2017 17:56,http://www.thehindu.com/news/cities/Kochi/nitta-gelatin-complains-of-vandalism-locals-refute-charge/article20242203.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"pipeline, company, allege, say, court, "
60,tn fishermen recall ordeal,12/2/2017 17:47,http://www.thehindu.com/news/national/kerala/tn-fishermen-recall-ordeal/article21251251.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,drunkenness,10.02,76.22,"anthoniyaru, day, boat, sea, thuya, "
61,grading system launched,11/1/2017 3:14,http://www.thehindu.com/news/cities/Kochi/grading-system-launched/article19958149.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"grade, establishment, system, provide, obtain, "
62,kserc to evaluate power tariff details,11/13/2017 3:59,http://www.thehindu.com/news/cities/Kochi/kserc-to-evaluate-power-tariff-details/article20377956.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"waste, commission, power, fund, project, "
63,kaya meets kuzhambu where chennai breakfasts get more interesting,12/14/2017 15:04,http://www.thehindu.com/life-and-style/food/from-kaya-toast-to-meen-kuzhambu-for-breakfast/article21655711.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,drunkenness,10.02,76.22,"egg, breakfast, menu, bowl, toast, "
64,arts and medicine programme completesepisodes,12/21/2017 2:22,http://www.thehindu.com/news/cities/Kochi/arts-and-medicine-completes-200-episodes/article22077428.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"afzal, music, programme, family, singer, "
65,gcda not to readmit tenants with rent arrears to stadium shops,10/31/2017 17:15,http://www.thehindu.com/news/cities/Kochi/gcda-not-to-readmit-tenants-with-rent-arrears-to-stadium-shops/article19957131.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"tenant, shop, gcda, court, arrear, "
66,ksum to commission study on failed startups,11/11/2017 17:58,http://www.thehindu.com/news/cities/Kochi/ksum-to-commission-study-on-failed-start-ups/article20242343.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"failure, say, gopinath, start, up, "
67,man held for stalking police woman,11/4/2017 18:44,http://www.thehindu.com/news/cities/Kochi/man-held-for-stalking-police-woman/article19984784.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"police, city, woman, post, station, "
68,cusat kerala varsity in race for â€˜eminenceâ€™ tag,10/25/2017 19:45,http://www.thehindu.com/news/cities/Kochi/cusat-kerala-varsity-in-race-for-eminence-tag/article19920788.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"institution, university, eminence, cusat, offer, "
69,councillors furious over traffic diversion plan,11/27/2017 18:52,http://www.thehindu.com/news/cities/Kochi/councillors-furious-over-traffic-diversion-plan/article21011868.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"traffic, proposal, division, diversion, say, "
70,bpcl gives â‚ crore to kseb,11/5/2017 2:41,http://www.thehindu.com/news/cities/Kochi/relocation-of-cables-bpcl-gives-429-crore-to-kseb/article19984697.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"project, bpcl, consignment, movement, crossing, "
71,kanam defends govt on land grab issue,11/2/2017 14:40,http://www.thehindu.com/news/national/kerala/kanam-defends-govt-on-land-grab-issue/article19969100.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"rajendran, minister, cpi, say, bjp, "
72,dispel hartal fears hc,10/12/2017 18:14,http://www.thehindu.com/news/national/kerala/dispel-hartal-fears-hc/article19847740.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"hartal, government, public, court, people, "
73,collector asks parents to get their wards vaccinated,11/30/2017 19:57,http://www.thehindu.com/news/cities/Kochi/collector-asks-parents-to-get-their-wards-vaccinated/article21236714.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"district, vaccination, government, get, guardian, "
74,fatal crossings tigers inreserves under threat,1/6/2018 19:09,http://www.thehindu.com/sci-tech/energy-and-environment/fatal-crossings-tigers-in-26-reserves-under-threat/article22388295.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"road, tiger, wildlife, area, highway, "
75,operational cost of buses falls,10/12/2017 2:38,http://www.thehindu.com/news/cities/Kochi/operational-cost-of-buses-falls/article19843581.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"bus, kmtc, cost, company, say, "
76,â€˜sad day for kochi metroâ€™,10/25/2017 2:59,http://www.thehindu.com/news/cities/Kochi/sad-day-for-kochi-metro/article19916508.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"kmrl, say, sreedharan, george, sad, "
77,no public discussions on saritha nairâ€™s letter hc,12/19/2017 18:17,http://www.thehindu.com/news/national/kerala/no-public-discussions-on-saritha-nairs-letter-hc/article21956352.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"order, government, court, chandy, other, "
78,bench recuses itself from case,11/7/2017 17:58,http://www.thehindu.com/news/national/kerala/bench-recuses-itself-from-case/article19999665.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"chandy, land, act, government, wetland, "
79,amicus curiae appointed insabarimala melsanthi case,10/24/2017 14:12,http://www.thehindu.com/news/national/kerala/amicus-curiae-appointed-insabarimala-melsanthi-case/article19912889.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"melsanthi, petitioner, board, temple, court, "
80,fisheries dept cancels registration licence of gillnet boat,10/16/2017 18:45,http://www.thehindu.com/news/cities/Kochi/fisheries-dept-cancels-registration-licence-of-gillnet-boat/article19873069.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"boat, licence, department, fishing, authority, "
81,worst over but the impact is here to stay feel stakeholders,11/9/2017 2:51,http://www.thehindu.com/news/cities/Kochi/worst-over-but-the-impact-is-here-to-stay-feel-stakeholders/article20005980.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"demonetisation, say, sector, recover, blow, "
82,into the pages of memory how bookstores in kochiâ€™s railway stations are battling to survive,12/9/2017 12:14,http://www.thehindu.com/books/the-bookstores-on-kochis-railway-stations/article21379898.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"magazine, station, say, book, train, "
83,gold worth â‚ lakh seized at airport,10/16/2017 19:47,http://www.thehindu.com/news/cities/Kochi/gold-worth-98-lakh-seized-at-airport/article19873678.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"gold, case, seize, official, land, "
84,bad weather no hindrance to bamboo enthusiastsartisans part of festival,12/2/2017 17:55,http://www.thehindu.com/news/cities/Kochi/bad-weather-no-hindrance-to-bamboo-enthusiasts-200-artisans-part-of-festival/article21251323.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"bamboo, kerala, state, festival, mission, "
85,new policy raises many eyebrows,11/1/2017 3:18,http://www.thehindu.com/news/cities/Kochi/new-policy-raises-many-eyebrows/article19958152.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"wage, association, minimum, say, labour, "
86,whatâ€™s killing our newborns,12/2/2017 17:43,http://www.thehindu.com/news/national/kerala/whats-killing-our-newborns/article21251227.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"heart, imr, defect, foetal, kerala, "
87,speech rehabilitation clinic to come up at cancer centre,10/30/2017 19:40,http://www.thehindu.com/news/cities/Kochi/speech-rehabilitation-clinic-to-come-up-at-cancer-centre/article19952566.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"patient, cancer, centre, ccrc, year, "
88,coast guard rescuesfishermen,12/3/2017 19:21,http://www.thehindu.com/news/national/kerala/coast-guard-rescues-46-fishermen/article21255947.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"vessel, rescue, coast, fisherman, guard, "
89,mystery of smalltime gold smugglers grows,10/17/2017 18:42,http://www.thehindu.com/news/cities/Kochi/mystery-of-small-time-gold-smugglers-grows/article19878295.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"official, gold, airport, say, custom, "
90,major blast at kochi house one arrested,11/11/2017 18:01,http://www.thehindu.com/news/cities/Kochi/major-blast-at-kochi-house-one-arrested/article20242658.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,assault,10.02,76.22,"house, blast, police, take, unnikrishnan, "
91,global seminar on human rights concludes,10/12/2017 17:48,http://www.thehindu.com/news/cities/Kochi/global-seminar-on-human-rights-concludes/article19847628.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"right, legal, session, ict, director, "
92,youth in police custody for tyre theft,11/20/2017 19:28,http://www.thehindu.com/news/cities/Kochi/youth-in-police-custody-for-tyre-theft/article20607309.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"tyre, vehicle, kalady, district, heavy, "
93,new maintenance simulator commissioned at naval base,1/6/2018 19:07,http://www.thehindu.com/news/cities/Kochi/new-maintenance-simulator-commissioned-at-naval-base/article22389195.ece?utm_source=RSS_Feed&utm_medium=RSS&utm_campaign=RSS_Syndication,trespass,10.02,76.22,"aircraft, navy, training, commission, contract, "
